Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Indianapolis,Weekly,"2023-01-22 00:00:00",Conventional,0.909194346,279213.72,61288.58,32472.81,9072.11,61866.30,,,
Indianapolis,Weekly,"2023-01-15 00:00:00",Conventional,0.942968291,291727.29,60970.32,33404.11,15025.38,55304.54,,,
Indianapolis,Weekly,"2023-01-09 00:00:00",Conventional,0.918126405,264352.98,50321.70,36021.54,4617.52,62249.45,,,
Jacksonville,Weekly,"2023-01-29 00:00:00",Conventional,0.927976254,276977.04,146924.43,4653.90,20.08,70359.31,,,
Jacksonville,Weekly,"2023-01-22 00:00:00",Conventional,0.923575709,280221.05,154454.89,4174.38,37.79,72032.51,,,
Jacksonville,Weekly,"2023-01-15 00:00:00",Conventional,0.942618380,267803.80,147622.39,4728.80,31.85,57401.28,,,
Jacksonville,Weekly,"2023-01-09 00:00:00",Conventional,0.974306474,261366.33,151613.93,4172.58,11.83,48019.87,,,
"Las Vegas",Weekly,"2023-01-29 00:00:00",Conventional,0.923353598,424234.23,67358.11,19972.56,1111.21,140152.12,,,
"Las Vegas",Weekly,"2023-01-22 00:00:00",Conventional,0.937230402,425539.51,62992.72,27596.15,2149.68,167230.80,,,
"Las Vegas",Weekly,"2023-01-15 00:00:00",Conventional,0.965984700,429164.39,60915.40,37921.81,2866.43,137071.74,,,
"Las Vegas",Weekly,"2023-01-09 00:00:00",Conventional,0.892594215,429063.29,56292.18,39411.20,482.52,126485.29,,,
"Los Angeles",Weekly,"2023-01-29 00:00:00",Conventional,1.128291861,2868689.24,527044.85,20990.27,87844.01,724594.86,,,
"Los Angeles",Weekly,"2023-01-22 00:00:00",Conventional,1.205720402,2869000.23,534598.84,17751.69,98160.53,679626.06,,,
"Los Angeles",Weekly,"2023-01-15 00:00:00",Conventional,1.216196189,2742152.24,532319.59,18030.48,86118.24,680093.77,,,
"Los Angeles",Weekly,"2023-01-09 00:00:00",Conventional,1.162507442,2809927.34,540506.52,17493.66,118721.66,627686.70,,,
Louisville,Weekly,"2023-01-29 00:00:00",Conventional,0.975895029,157579.37,34182.63,4652.98,1026.33,37196.53,,,
Louisville,Weekly,"2023-01-22 00:00:00",Conventional,0.983090798,146616.63,30866.49,6134.04,1902.32,38064.82,,,
Louisville,Weekly,"2023-01-15 00:00:00",Conventional,0.950769532,152831.65,30314.67,7818.64,3386.89,37855.49,,,
Louisville,Weekly,"2023-01-09 00:00:00",Conventional,0.962876837,144167.28,24588.07,13103.03,1072.06,35038.35,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-29 00:00:00",Conventional,0.927504134,1134713.40,656236.35,14982.31,117.98,274418.60,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-22 00:00:00",Conventional,0.924184206,1141159.87,659001.09,15186.89,128.41,311643.65,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-15 00:00:00",Conventional,0.923554546,1142190.65,634541.65,14178.55,99.39,299691.87,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-09 00:00:00",Conventional,0.931542362,1049278.45,597482.85,13827.30,201.33,261212.41,,,
Nashville,Weekly,"2023-01-29 00:00:00",Conventional,0.934100200,343144.64,113009.91,7626.53,31.60,94562.71,,,
Nashville,Weekly,"2023-01-22 00:00:00",Conventional,0.923645650,335699.09,112942.25,8760.28,32.94,101400.60,,,
Nashville,Weekly,"2023-01-15 00:00:00",Conventional,0.894878911,330619.90,111799.53,9818.06,67.67,88827.48,,,
Nashville,Weekly,"2023-01-09 00:00:00",Conventional,0.895129930,338921.58,104165.43,17086.94,57.44,93149.54,,,
"Northern New England",Weekly,"2023-01-29 00:00:00",Conventional,1.056092599,465490.04,105741.37,213969.14,27.99,75940.20,,,
"Northern New England",Weekly,"2023-01-22 00:00:00",Conventional,1.059843439,633307.71,170525.71,326966.29,30.35,78812.77,,,
"Northern New England",Weekly,"2023-01-15 00:00:00",Conventional,1.105379299,481809.39,107609.74,232578.64,19.36,86737.26,,,
