Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Miami/Ft. Lauderdale",Weekly,"2023-05-21 00:00:00",Organic,1.481404584,29901.69,14682.04,3302.56,0.00,3909.65,,,
"Miami/Ft. Lauderdale",Weekly,"2023-05-14 00:00:00",Organic,1.135775173,55356.08,10293.39,27903.16,0.00,8004.49,,,
"Miami/Ft. Lauderdale",Weekly,"2023-05-07 00:00:00",Organic,1.310548867,33891.88,4487.53,646.53,0.00,12417.97,,,
"Miami/Ft. Lauderdale",Weekly,"2023-04-30 00:00:00",Organic,1.315460049,43274.37,11572.68,7173.04,0.00,9694.93,,,
Nashville,Weekly,"2023-05-21 00:00:00",Organic,1.825411384,17452.01,701.68,12661.62,0.00,3146.07,,,
Nashville,Weekly,"2023-05-14 00:00:00",Organic,1.718115714,20831.85,8582.63,5354.17,0.00,3099.69,,,
Nashville,Weekly,"2023-05-07 00:00:00",Organic,1.618331083,19434.92,6586.38,5410.23,0.00,3670.52,,,
Nashville,Weekly,"2023-04-30 00:00:00",Organic,1.554331016,17601.42,7330.61,3241.16,0.00,3771.77,,,
"Northern New England",Weekly,"2023-05-21 00:00:00",Organic,1.783664375,14152.53,2079.38,273.91,0.00,8988.13,,,
"Northern New England",Weekly,"2023-05-14 00:00:00",Organic,1.782208027,15365.16,2301.64,325.90,0.00,11150.32,,,
"Northern New England",Weekly,"2023-05-07 00:00:00",Organic,1.823858515,14482.89,2266.98,310.69,0.00,8884.86,,,
"Northern New England",Weekly,"2023-04-30 00:00:00",Organic,1.842190079,13995.00,2340.11,276.62,0.00,9064.65,,,
"New Orleans/Mobile",Weekly,"2023-05-21 00:00:00",Organic,1.486162997,5364.50,172.83,58.86,0.00,3362.25,,,
"New Orleans/Mobile",Weekly,"2023-05-14 00:00:00",Organic,1.379305845,5174.09,308.57,33.86,0.00,2600.29,,,
"New Orleans/Mobile",Weekly,"2023-05-07 00:00:00",Organic,1.339797314,5783.10,446.52,31.48,0.00,2760.29,,,
"New Orleans/Mobile",Weekly,"2023-04-30 00:00:00",Organic,1.469671444,6267.41,456.10,15.78,0.00,3509.15,,,
"New York",Weekly,"2023-05-21 00:00:00",Organic,1.641597793,96789.31,10511.27,12930.84,0.00,36270.45,,,
"New York",Weekly,"2023-05-14 00:00:00",Organic,1.651350322,129021.27,42345.64,16525.52,0.00,35536.77,,,
"New York",Weekly,"2023-05-07 00:00:00",Organic,1.575571153,327982.24,213822.17,41935.86,0.00,36014.82,,,
"New York",Weekly,"2023-04-30 00:00:00",Organic,1.616124416,103997.09,11293.65,12745.28,6.25,35924.91,,,
Orlando,Weekly,"2023-05-21 00:00:00",Organic,1.441299522,23741.62,13898.59,135.45,0.00,1204.94,,,
Orlando,Weekly,"2023-05-14 00:00:00",Organic,1.250610556,25148.11,13570.40,114.06,0.00,813.10,,,
Orlando,Weekly,"2023-05-07 00:00:00",Organic,1.235678297,27416.88,6060.14,88.20,0.00,6770.27,,,
Orlando,Weekly,"2023-04-30 00:00:00",Organic,1.277730930,25186.45,669.58,105.79,0.00,11752.41,,,
Peoria/Springfield,Weekly,"2023-05-21 00:00:00",Organic,1.509747792,3886.29,116.42,723.23,0.00,1100.73,,,
Peoria/Springfield,Weekly,"2023-05-14 00:00:00",Organic,1.513609800,4220.31,372.38,730.98,0.00,1217.89,,,
Peoria/Springfield,Weekly,"2023-05-07 00:00:00",Organic,1.555995740,4168.86,496.85,713.79,0.00,1057.72,,,
Peoria/Springfield,Weekly,"2023-04-30 00:00:00",Organic,1.517025122,4119.82,495.34,601.39,0.00,933.86,,,
Philadelphia,Weekly,"2023-05-21 00:00:00",Organic,1.548607804,29039.84,1893.51,3807.99,0.00,14752.21,,,
Philadelphia,Weekly,"2023-05-14 00:00:00",Organic,1.640659573,34860.62,4819.12,6388.54,0.00,15488.62,,,
Philadelphia,Weekly,"2023-05-07 00:00:00",Organic,1.550482288,61976.05,28473.03,7462.75,0.00,17315.93,,,
Philadelphia,Weekly,"2023-04-30 00:00:00",Organic,1.582540176,31724.31,2240.64,4871.39,0.00,15582.88,,,
Phoenix/Tucson,Weekly,"2023-05-21 00:00:00",Organic,0.970514901,56228.06,15858.66,2887.15,0.00,36656.94,,,
Phoenix/Tucson,Weekly,"2023-05-14 00:00:00",Organic,1.297614438,28845.59,13845.77,3896.07,0.00,10023.30,,,
Phoenix/Tucson,Weekly,"2023-05-07 00:00:00",Organic,1.505710203,22669.14,16143.42,3110.59,0.00,2378.78,,,
Phoenix/Tucson,Weekly,"2023-04-30 00:00:00",Organic,1.413312385,26529.63,17245.19,3619.69,0.00,4562.25,,,
Pittsburgh,Weekly,"2023-05-21 00:00:00",Organic,1.669721061,7505.65,1754.29,1.40,0.00,3115.77,,,
Pittsburgh,Weekly,"2023-05-14 00:00:00",Organic,1.681388096,7829.26,1881.65,1.40,0.00,3274.61,,,
Pittsburgh,Weekly,"2023-05-07 00:00:00",Organic,1.640213895,7105.59,1562.35,2.80,0.00,2753.49,,,
Pittsburgh,Weekly,"2023-04-30 00:00:00",Organic,1.651629677,7423.43,1572.92,2.81,0.00,3274.15,,,
Portland,Weekly,"2023-05-21 00:00:00",Organic,2.041486219,25206.98,2317.63,18990.40,1.34,3629.85,,,
Portland,Weekly,"2023-05-14 00:00:00",Organic,2.001024785,22298.75,3787.00,15471.47,0.00,2728.43,,,
Portland,Weekly,"2023-05-07 00:00:00",Organic,2.089870305,25682.35,9497.48,14882.87,0.00,1081.50,,,
Portland,Weekly,"2023-04-30 00:00:00",Organic,1.962484948,28144.16,12151.94,11857.84,0.00,3986.33,,,
Providence,Weekly,"2023-05-21 00:00:00",Organic,1.642479400,4278.84,6.97,1.40,0.00,2190.25,,,
Providence,Weekly,"2023-05-14 00:00:00",Organic,1.670705236,3716.46,1.39,2.79,0.00,2478.33,,,
Providence,Weekly,"2023-05-07 00:00:00",Organic,1.580890919,4257.83,2.79,11.14,0.00,2244.05,,,
Providence,Weekly,"2023-04-30 00:00:00",Organic,1.640063224,3921.94,4.19,1.40,0.00,2374.65,,,
Raleigh/Greensboro,Weekly,"2023-05-21 00:00:00",Organic,1.434204460,28850.66,1157.63,2557.64,32.90,17008.56,,,
Raleigh/Greensboro,Weekly,"2023-05-14 00:00:00",Organic,1.410129736,29878.10,1351.80,2073.96,27.58,18852.94,,,
Raleigh/Greensboro,Weekly,"2023-05-07 00:00:00",Organic,1.305611890,31052.11,1535.46,1847.32,21.20,21817.09,,,
Raleigh/Greensboro,Weekly,"2023-04-30 00:00:00",Organic,1.366548701,31786.81,1258.69,1910.69,20.14,20905.77,,,
Richmond/Norfolk,Weekly,"2023-05-21 00:00:00",Organic,1.469275466,19232.48,167.92,3328.62,2.14,11736.64,,,
Richmond/Norfolk,Weekly,"2023-05-14 00:00:00",Organic,1.413093368,20638.28,1954.88,1802.13,0.00,13368.61,,,
Richmond/Norfolk,Weekly,"2023-05-07 00:00:00",Organic,1.217787927,27045.27,2028.73,1937.03,0.00,18149.66,,,
Richmond/Norfolk,Weekly,"2023-04-30 00:00:00",Organic,1.353950228,22935.41,2434.08,1370.87,4.27,14569.40,,,
Roanoke,Weekly,"2023-05-21 00:00:00",Organic,1.591296862,8371.55,210.69,2778.27,0.00,2921.26,,,
Roanoke,Weekly,"2023-05-14 00:00:00",Organic,1.565229522,9696.57,1956.98,1682.45,0.00,3281.59,,,
Roanoke,Weekly,"2023-05-07 00:00:00",Organic,1.439222027,11469.86,2314.11,1793.60,0.00,4467.95,,,
Roanoke,Weekly,"2023-04-30 00:00:00",Organic,1.465987180,11031.64,2811.83,1053.65,0.00,4412.65,,,
Sacramento,Weekly,"2023-05-21 00:00:00",Organic,1.125747841,44672.86,5841.79,3267.58,2.49,35561.01,,,
Sacramento,Weekly,"2023-05-14 00:00:00",Organic,1.093277977,45596.12,3209.57,4349.00,0.00,38037.55,,,
Sacramento,Weekly,"2023-05-07 00:00:00",Organic,1.033037329,43975.27,2604.39,3927.92,0.00,37442.97,,,
Sacramento,Weekly,"2023-04-30 00:00:00",Organic,1.100136523,50624.75,5399.46,2420.20,0.00,42805.10,,,
"San Diego",Weekly,"2023-05-21 00:00:00",Organic,2.185363422,17171.32,11254.96,1208.16,0.00,2581.95,,,
"San Diego",Weekly,"2023-05-14 00:00:00",Organic,2.081224969,18537.22,10910.15,1648.50,0.00,3386.12,,,
"San Diego",Weekly,"2023-05-07 00:00:00",Organic,2.256033181,17453.70,12089.44,877.08,0.00,2020.73,,,
"San Diego",Weekly,"2023-04-30 00:00:00",Organic,2.226314928,18556.99,12555.65,933.12,0.00,2431.67,,,
"San Francisco",Weekly,"2023-05-21 00:00:00",Organic,1.554461964,77116.57,18945.07,9362.52,0.00,48808.97,,,
"San Francisco",Weekly,"2023-05-14 00:00:00",Organic,1.530300053,78698.81,9137.90,18128.91,0.00,51432.00,,,
"San Francisco",Weekly,"2023-05-07 00:00:00",Organic,1.424396406,76449.54,4777.33,18968.47,0.00,52703.73,,,
"San Francisco",Weekly,"2023-04-30 00:00:00",Organic,1.558337803,79967.91,17078.72,8144.57,0.00,54744.62,,,
Seattle,Weekly,"2023-05-21 00:00:00",Organic,2.470821561,59142.75,13047.58,41646.68,38.36,2980.03,,,
Seattle,Weekly,"2023-05-14 00:00:00",Organic,2.395286612,44180.52,13185.98,26268.44,21.45,3048.81,,,
Seattle,Weekly,"2023-05-07 00:00:00",Organic,2.170433809,68093.15,31583.01,31866.04,172.67,2790.38,,,
Seattle,Weekly,"2023-04-30 00:00:00",Organic,2.226322673,58770.34,30665.89,21620.88,64.40,4837.88,,,
"South Carolina",Weekly,"2023-05-21 00:00:00",Organic,1.496644558,26644.30,952.81,4021.25,4.65,15028.94,,,
"South Carolina",Weekly,"2023-05-14 00:00:00",Organic,1.416387736,28000.46,1170.27,3928.83,4.65,16336.45,,,
"South Carolina",Weekly,"2023-05-07 00:00:00",Organic,1.276728733,32677.99,2001.91,2595.62,5.80,17524.66,,,
"South Carolina",Weekly,"2023-04-30 00:00:00",Organic,1.391035428,28348.02,2842.90,2034.07,0.00,16399.69,,,
Spokane,Weekly,"2023-05-21 00:00:00",Organic,2.099904833,4797.75,1613.33,1607.84,0.00,1488.38,,,
Spokane,Weekly,"2023-05-14 00:00:00",Organic,2.197744785,3377.06,683.41,1634.20,0.00,1015.35,,,
Spokane,Weekly,"2023-05-07 00:00:00",Organic,2.558013096,4113.98,3128.20,885.51,0.00,34.13,,,
Spokane,Weekly,"2023-04-30 00:00:00",Organic,1.689709230,5279.43,2320.78,1438.24,0.00,1482.60,,,
"St. Louis",Weekly,"2023-05-21 00:00:00",Organic,2.165357818,6623.59,965.32,2516.46,0.00,1948.35,,,
"St. Louis",Weekly,"2023-05-14 00:00:00",Organic,2.134036627,6660.00,1090.43,2273.02,0.00,2260.20,,,
"St. Louis",Weekly,"2023-05-07 00:00:00",Organic,2.103510086,7072.34,1092.01,2343.86,0.00,2272.13,,,
"St. Louis",Weekly,"2023-04-30 00:00:00",Organic,2.176579804,6649.44,861.99,2698.42,0.00,1903.84,,,
Syracuse,Weekly,"2023-05-21 00:00:00",Organic,1.596793597,4101.93,125.65,112.29,0.00,2660.17,,,
Syracuse,Weekly,"2023-05-14 00:00:00",Organic,1.608257668,4896.51,188.26,87.47,0.00,3314.64,,,
Syracuse,Weekly,"2023-05-07 00:00:00",Organic,1.651424146,4533.75,220.02,106.33,0.00,2979.68,,,
Syracuse,Weekly,"2023-04-30 00:00:00",Organic,1.688329811,4265.94,218.75,82.83,0.00,2862.52,,,
Tampa,Weekly,"2023-05-21 00:00:00",Organic,1.194365864,37449.32,8476.06,21167.53,0.00,1198.21,,,
Tampa,Weekly,"2023-05-14 00:00:00",Organic,1.263227148,15791.96,7274.14,88.20,0.00,815.29,,,
Tampa,Weekly,"2023-05-07 00:00:00",Organic,1.198524972,21873.86,859.92,88.20,0.00,7279.16,,,
Tampa,Weekly,"2023-04-30 00:00:00",Organic,1.241751526,19601.95,1299.12,101.85,0.00,6633.78,,,
Toledo,Weekly,"2023-05-21 00:00:00",Organic,1.637368526,3998.68,749.95,1005.14,0.00,705.60,,,
Toledo,Weekly,"2023-05-14 00:00:00",Organic,1.608816866,4404.41,1257.14,740.67,0.00,810.73,,,
Toledo,Weekly,"2023-05-07 00:00:00",Organic,1.590618059,4322.05,734.86,1441.48,0.00,527.80,,,
Toledo,Weekly,"2023-04-30 00:00:00",Organic,1.584137155,4293.53,1631.02,520.52,0.00,686.70,,,
"West Tex/New Mexico",Weekly,"2023-05-21 00:00:00",Organic,1.175170203,23864.20,7645.39,586.25,0.00,15412.06,,,
"West Tex/New Mexico",Weekly,"2023-05-14 00:00:00",Organic,1.092973094,24092.96,8692.80,713.88,0.00,14498.33,,,
"West Tex/New Mexico",Weekly,"2023-05-07 00:00:00",Organic,1.053792958,30013.02,21995.71,443.43,0.00,7363.88,,,
"West Tex/New Mexico",Weekly,"2023-04-30 00:00:00",Organic,0.990753214,27730.15,12723.56,575.20,0.00,14229.79,,,
Wichita,Weekly,"2023-05-21 00:00:00",Organic,1.534100708,2057.64,921.41,10.64,0.00,993.30,,,
Wichita,Weekly,"2023-05-14 00:00:00",Organic,1.458754841,3361.03,1403.21,7.44,0.00,1786.58,,,
Wichita,Weekly,"2023-05-07 00:00:00",Organic,1.388930612,3228.71,1227.34,5.32,0.00,1882.65,,,
Wichita,Weekly,"2023-04-30 00:00:00",Organic,1.297417973,3167.31,1069.80,11.69,0.00,1953.53,,,
California,Weekly,"2023-05-21 00:00:00",Organic,1.599146984,312998.99,108019.87,25993.12,2.84,161896.72,,,
California,Weekly,"2023-05-14 00:00:00",Organic,1.543423022,330767.52,83094.85,49788.73,0.00,178851.00,,,
California,Weekly,"2023-05-07 00:00:00",Organic,1.527616906,325080.94,83562.97,44911.37,0.00,177829.66,,,
California,Weekly,"2023-04-30 00:00:00",Organic,1.566345027,359880.32,118214.08,23729.16,2.33,197622.97,,,
"Great Lakes",Weekly,"2023-05-21 00:00:00",Organic,1.439810121,166742.47,18367.70,49041.91,0.00,62316.38,,,
"Great Lakes",Weekly,"2023-05-14 00:00:00",Organic,1.440017992,202718.92,38073.80,57701.66,0.00,70759.57,,,
"Great Lakes",Weekly,"2023-05-07 00:00:00",Organic,1.410463991,187331.36,28859.50,55285.95,0.00,61072.20,,,
"Great Lakes",Weekly,"2023-04-30 00:00:00",Organic,1.397352981,162536.29,31148.17,33545.56,0.00,63186.50,,,
Midsouth,Weekly,"2023-05-21 00:00:00",Organic,1.539601506,214768.97,4602.53,52225.15,66.60,109894.88,,,
Midsouth,Weekly,"2023-05-14 00:00:00",Organic,1.499648640,236554.85,24470.76,37185.72,61.87,121054.21,,,
Midsouth,Weekly,"2023-05-07 00:00:00",Organic,1.390792525,270504.59,24819.89,36970.19,45.87,148032.70,,,
Midsouth,Weekly,"2023-04-30 00:00:00",Organic,1.465041021,252594.04,27007.53,30694.20,76.66,135591.70,,,
Northeast,Weekly,"2023-05-21 00:00:00",Organic,1.644980879,260553.68,20654.87,29034.35,1.14,123781.59,,,
Northeast,Weekly,"2023-05-14 00:00:00",Organic,1.663061790,302807.64,59564.71,33338.93,0.00,132881.43,,,
Northeast,Weekly,"2023-05-07 00:00:00",Organic,1.588975379,557140.08,275678.32,66446.28,4.89,127917.28,,,
Northeast,Weekly,"2023-04-30 00:00:00",Organic,1.648172366,269652.54,22553.57,26898.46,6.29,129432.13,,,
Plains,Weekly,"2023-05-21 00:00:00",Organic,1.075508491,116080.77,10062.34,5953.85,0.00,88137.29,,,
Plains,Weekly,"2023-05-14 00:00:00",Organic,1.062935749,127923.00,11917.41,7453.84,0.00,96273.12,,,
Plains,Weekly,"2023-05-07 00:00:00",Organic,1.079265812,123540.83,12458.31,9205.24,0.00,89436.07,,,
Plains,Weekly,"2023-04-30 00:00:00",Organic,1.111086512,127529.88,10389.71,20055.59,0.00,85670.58,,,
"South Central",Weekly,"2023-05-21 00:00:00",Organic,1.043518036,177688.38,28671.06,5024.62,0.00,139427.43,,,
"South Central",Weekly,"2023-05-14 00:00:00",Organic,1.144644298,154329.51,39762.70,5791.29,0.00,103685.26,,,
"South Central",Weekly,"2023-05-07 00:00:00",Organic,1.101033230,170500.61,52975.76,5270.09,0.00,106725.19,,,
"South Central",Weekly,"2023-04-30 00:00:00",Organic,1.096148651,161591.43,43091.88,4654.28,0.00,109016.97,,,
Southeast,Weekly,"2023-05-21 00:00:00",Organic,1.429983955,203056.15,47753.19,54620.54,8.04,45741.96,,,
Southeast,Weekly,"2023-05-14 00:00:00",Organic,1.285672389,217007.41,41329.62,52939.73,4.73,49797.72,,,
Southeast,Weekly,"2023-05-07 00:00:00",Organic,1.276133888,209313.24,23412.21,13792.51,13.30,72307.13,,,
Southeast,Weekly,"2023-04-30 00:00:00",Organic,1.328150249,210791.89,29851.93,18797.34,0.00,72492.18,,,
West,Weekly,"2023-05-21 00:00:00",Organic,1.519799069,339677.69,107819.36,93752.04,44.84,133007.62,,,
West,Weekly,"2023-05-14 00:00:00",Organic,1.575244860,274219.63,107747.30,75436.90,26.39,85194.91,,,
West,Weekly,"2023-05-07 00:00:00",Organic,1.630597838,298064.68,165906.02,77565.26,175.79,48610.84,,,
West,Weekly,"2023-04-30 00:00:00",Organic,1.515661835,317115.89,155765.06,60944.11,68.86,94963.76,,,
"Total U.S.",Weekly,"2023-05-21 00:00:00",Organic,1.460592290,1791567.11,345950.93,315645.58,123.46,864203.87,,,
"Total U.S.",Weekly,"2023-05-14 00:00:00",Organic,1.453890747,1846328.47,405961.15,319636.80,92.99,838497.22,,,
"Total U.S.",Weekly,"2023-05-07 00:00:00",Organic,1.445972779,2141476.33,667672.98,309446.89,239.85,831931.07,,,
"Total U.S.",Weekly,"2023-04-30 00:00:00",Organic,1.442096824,1861692.29,438021.93,219318.70,154.14,887976.79,,,
Albany,Weekly,"2023-06-18 00:00:00",Conventional,1.097761772,135168.73,19050.73,92396.27,11.30,20739.61,,,
Albany,Weekly,"2023-06-11 00:00:00",Conventional,1.106857112,128947.85,17594.31,85168.63,4.83,23217.39,,,
Albany,Weekly,"2023-06-04 00:00:00",Conventional,1.067212595,151136.15,21410.25,110067.36,16.53,16659.21,,,
Albany,Weekly,"2023-05-28 00:00:00",Conventional,1.113335860,125791.82,18211.43,82746.40,24.06,21704.75,,,
Atlanta,Weekly,"2023-06-18 00:00:00",Conventional,1.026574625,819445.26,474155.80,146049.56,202.36,179596.46,,,
Atlanta,Weekly,"2023-06-11 00:00:00",Conventional,1.011463099,806951.88,431535.59,160615.67,259.95,191942.06,,,
Atlanta,Weekly,"2023-06-04 00:00:00",Conventional,1.030173169,795791.95,465716.73,122196.87,253.97,187916.60,,,
Atlanta,Weekly,"2023-05-28 00:00:00",Conventional,1.055557737,821208.46,434499.58,189977.51,197.12,177856.12,,,
Baltimore/Washington,Weekly,"2023-06-18 00:00:00",Conventional,1.346085932,839155.48,288641.54,207924.18,975.43,246070.46,,,
Baltimore/Washington,Weekly,"2023-06-11 00:00:00",Conventional,1.314324305,881038.09,318120.08,228196.35,1070.29,280979.37,,,
Baltimore/Washington,Weekly,"2023-06-04 00:00:00",Conventional,1.295324273,906761.16,315055.96,233550.24,1105.92,294154.53,,,
Baltimore/Washington,Weekly,"2023-05-28 00:00:00",Conventional,1.297404932,920080.58,249062.32,286640.48,1403.27,325332.25,,,
Birmingham/Montgomery,Weekly,"2023-06-18 00:00:00",Conventional,0.993472429,346692.22,235312.88,28711.90,131.08,66586.79,,,
Birmingham/Montgomery,Weekly,"2023-06-11 00:00:00",Conventional,0.944716694,363800.85,261552.42,14801.90,79.01,68079.18,,,
Birmingham/Montgomery,Weekly,"2023-06-04 00:00:00",Conventional,0.954554808,373439.36,276595.04,11202.03,50.92,66427.97,,,
Birmingham/Montgomery,Weekly,"2023-05-28 00:00:00",Conventional,0.967328867,370726.26,276636.97,14493.50,97.86,60265.48,,,
Boise,Weekly,"2023-06-18 00:00:00",Conventional,1.048355814,110143.18,62794.84,26126.36,217.33,17224.78,,,
Boise,Weekly,"2023-06-11 00:00:00",Conventional,0.888667665,127305.57,63951.03,41684.71,242.41,17477.15,,,
Boise,Weekly,"2023-06-04 00:00:00",Conventional,1.106690517,112750.54,56603.80,32884.74,279.28,19121.54,,,
Boise,Weekly,"2023-05-28 00:00:00",Conventional,1.014122233,136845.10,76749.67,37650.07,324.36,16782.29,,,
Boston,Weekly,"2023-06-18 00:00:00",Conventional,1.157527681,678908.02,46602.31,467680.09,52.47,147175.08,,,
Boston,Weekly,"2023-06-11 00:00:00",Conventional,1.354667575,586732.37,45680.30,374872.77,221.12,154629.85,,,
Boston,Weekly,"2023-06-04 00:00:00",Conventional,1.361721408,604959.62,55069.49,398212.32,178.83,141578.34,,,
Boston,Weekly,"2023-05-28 00:00:00",Conventional,1.281726615,648418.15,51464.93,445036.22,189.31,141010.05,,,
Buffalo/Rochester,Weekly,"2023-06-18 00:00:00",Conventional,1.062154361,182169.22,31133.28,47841.12,2070.16,95333.28,,,
Buffalo/Rochester,Weekly,"2023-06-11 00:00:00",Conventional,1.068795523,193060.64,34209.44,54021.08,1717.55,97545.52,,,
Buffalo/Rochester,Weekly,"2023-06-04 00:00:00",Conventional,1.046834813,182712.72,37815.79,52035.34,1388.07,87175.51,,,
Buffalo/Rochester,Weekly,"2023-05-28 00:00:00",Conventional,1.098076006,191019.56,32295.91,57609.65,1906.81,94029.01,,,
Charlotte,Weekly,"2023-06-18 00:00:00",Conventional,1.222351075,371959.54,165577.53,69563.21,818.14,95867.61,,,
Charlotte,Weekly,"2023-06-11 00:00:00",Conventional,1.178062920,376206.09,167676.39,64963.71,802.57,102221.25,,,
Charlotte,Weekly,"2023-06-04 00:00:00",Conventional,1.162568992,381713.73,176448.70,65596.29,714.88,98150.88,,,
Charlotte,Weekly,"2023-05-28 00:00:00",Conventional,1.171010328,380941.59,173722.68,62410.31,815.91,102405.68,,,
Chicago,Weekly,"2023-06-18 00:00:00",Conventional,1.263873279,819013.27,240533.49,243170.87,90165.73,230562.70,,,
Chicago,Weekly,"2023-06-11 00:00:00",Conventional,1.226299280,892721.94,230264.54,284002.11,143511.72,214978.20,,,
Chicago,Weekly,"2023-06-04 00:00:00",Conventional,1.267115357,864829.73,207541.88,288613.93,133662.64,216006.57,,,
Chicago,Weekly,"2023-05-28 00:00:00",Conventional,1.290755041,816345.28,206084.97,252688.25,104639.60,231477.71,,,
Cincinnati/Dayton,Weekly,"2023-06-18 00:00:00",Conventional,1.130282151,300312.82,88249.14,161567.02,6102.36,42034.12,,,
Cincinnati/Dayton,Weekly,"2023-06-11 00:00:00",Conventional,1.055975426,307186.54,91340.65,149742.01,21164.32,41615.45,,,
Cincinnati/Dayton,Weekly,"2023-06-04 00:00:00",Conventional,1.206622785,296475.51,110866.49,115080.73,24425.47,43038.25,,,
Cincinnati/Dayton,Weekly,"2023-05-28 00:00:00",Conventional,1.208688089,311911.83,134063.30,121285.01,7469.54,46100.30,,,
Columbus,Weekly,"2023-06-18 00:00:00",Conventional,1.100925793,236167.93,75951.04,97205.63,5792.84,44481.38,,,
Columbus,Weekly,"2023-06-11 00:00:00",Conventional,1.088228454,246235.15,67842.13,113026.60,17675.23,42448.86,,,
Columbus,Weekly,"2023-06-04 00:00:00",Conventional,1.125781138,238014.02,99124.72,72693.91,19836.55,43933.52,,,
Columbus,Weekly,"2023-05-28 00:00:00",Conventional,1.121491601,242736.56,76120.44,115171.66,6328.94,42671.09,,,
"Dallas/Ft. Worth",Weekly,"2023-06-18 00:00:00",Conventional,0.846136270,1410940.35,568116.63,373960.27,51555.43,277234.72,,,
"Dallas/Ft. Worth",Weekly,"2023-06-11 00:00:00",Conventional,0.793922475,1447748.92,581211.63,356070.13,46557.86,379302.11,,,
"Dallas/Ft. Worth",Weekly,"2023-06-04 00:00:00",Conventional,0.799191660,1487374.22,698248.96,299796.94,41851.09,405900.34,,,
"Dallas/Ft. Worth",Weekly,"2023-05-28 00:00:00",Conventional,0.849541483,1493349.33,549343.49,383507.60,57427.23,461515.78,,,
Denver,Weekly,"2023-06-18 00:00:00",Conventional,1.025884666,959337.64,352562.04,353433.97,19618.13,204687.99,,,
Denver,Weekly,"2023-06-11 00:00:00",Conventional,1.029925240,982783.95,324518.60,403205.72,25081.45,206008.67,,,
Denver,Weekly,"2023-06-04 00:00:00",Conventional,1.127177006,985054.00,446866.19,287540.07,16938.02,206880.08,,,
Denver,Weekly,"2023-05-28 00:00:00",Conventional,1.076269223,977087.82,326392.95,402074.36,22770.06,203181.29,,,
Detroit,Weekly,"2023-06-18 00:00:00",Conventional,1.158520071,407562.35,103389.78,179532.86,33357.82,88758.78,,,
Detroit,Weekly,"2023-06-11 00:00:00",Conventional,1.022337075,485199.39,110597.00,193813.91,93305.79,83009.58,,,
Detroit,Weekly,"2023-06-04 00:00:00",Conventional,1.098172930,444208.59,138192.06,110764.63,104886.38,83604.58,,,
Detroit,Weekly,"2023-05-28 00:00:00",Conventional,1.120874516,424063.16,118341.15,169579.01,37202.42,91539.63,,,
"Grand Rapids",Weekly,"2023-06-18 00:00:00",Conventional,1.401652559,142430.82,27667.50,36661.13,35773.68,40820.85,,,
"Grand Rapids",Weekly,"2023-06-11 00:00:00",Conventional,1.074157939,208131.49,31556.18,48149.76,88906.90,36545.68,,,
"Grand Rapids",Weekly,"2023-06-04 00:00:00",Conventional,1.051250639,229029.18,30934.10,55297.05,101329.68,37161.72,,,
"Grand Rapids",Weekly,"2023-05-28 00:00:00",Conventional,1.369229486,153184.29,33234.93,33119.68,35815.49,44732.86,,,
Harrisburg/Scranton,Weekly,"2023-06-18 00:00:00",Conventional,1.167693133,383849.21,143047.44,91966.13,21022.13,94834.59,,,
Harrisburg/Scranton,Weekly,"2023-06-11 00:00:00",Conventional,1.160277550,371897.05,137415.11,83760.01,22292.42,111460.37,,,
Harrisburg/Scranton,Weekly,"2023-06-04 00:00:00",Conventional,1.172253345,376838.25,140467.43,91114.72,24550.29,105766.96,,,
Harrisburg/Scranton,Weekly,"2023-05-28 00:00:00",Conventional,1.115038417,393131.24,162918.37,84782.87,20751.10,110121.68,,,
Hartford/Springfield,Weekly,"2023-06-18 00:00:00",Conventional,1.075309625,418604.76,21126.91,318693.59,195.97,64703.19,,,
Hartford/Springfield,Weekly,"2023-06-11 00:00:00",Conventional,1.351947269,316633.78,19424.66,215299.01,128.27,73236.56,,,
Hartford/Springfield,Weekly,"2023-06-04 00:00:00",Conventional,1.296643422,349300.07,24606.64,249617.45,59.24,67312.35,,,
Hartford/Springfield,Weekly,"2023-05-28 00:00:00",Conventional,1.282292255,349784.88,20089.45,257903.37,52.67,65141.79,,,
Houston,Weekly,"2023-06-18 00:00:00",Conventional,0.855077186,914644.14,439385.89,262930.04,6419.47,47926.64,,,
Houston,Weekly,"2023-06-11 00:00:00",Conventional,0.829998112,913794.88,428343.46,252651.30,5874.60,51483.25,,,
Houston,Weekly,"2023-06-04 00:00:00",Conventional,0.867703333,888258.36,466533.38,196987.73,4941.76,36876.03,,,
Houston,Weekly,"2023-05-28 00:00:00",Conventional,0.892804419,922286.67,474848.58,212501.68,6442.49,44765.35,,,
Indianapolis,Weekly,"2023-06-18 00:00:00",Conventional,1.102928630,251116.71,65102.74,110327.89,10419.11,55618.35,,,
Indianapolis,Weekly,"2023-06-11 00:00:00",Conventional,0.975518846,286161.49,76850.72,119669.57,28354.67,52988.59,,,
Indianapolis,Weekly,"2023-06-04 00:00:00",Conventional,1.077354275,279522.70,85752.37,98216.96,31492.48,54041.69,,,
